Date,vehicle_class,Adjusted_Quota,Adj_Prem
1/1/2010,Category A,1151.5,19501.5
1/1/2010,Category B,702,20795
1/1/2010,Category C,177,19545.5
1/1/2010,Category E,587,20894
1/2/2010,Category A,1151,20164.5
1/2/2010,Category B,689,23534.5
1/2/2010,Category C,169,22445.5
1/2/2010,Category E,595.5,23315
1/3/2010,Category A,1147,24595.5
1/3/2010,Category B,699.5,31239
1/3/2010,Category C,168,29945.5
1/3/2010,Category E,585.5,34795.5
1/4/2010,Category A,705.5,32000.5
1/4/2010,Category B,566,42751
1/4/2010,Category C,191.5,36033.5
1/4/2010,Category E,381,46001.5
1/5/2010,Category A,752.5,26745.5
1/5/2010,Category B,555.5,36300
1/5/2010,Category C,182.5,30945
1/5/2010,Category E,385.5,39001
1/6/2010,Category A,702.5,30780.5
1/6/2010,Category B,555,39956.5
1/6/2010,Category C,180,30939
1/6/2010,Category E,361.5,41003
1/7/2010,Category A,699.5,32831.5
1/7/2010,Category B,554.5,39399
1/7/2010,Category C,180,30995
1/7/2010,Category E,381,42287.5
1/8/2010,Category A,614,30552
1/8/2010,Category B,480.5,43072
1/8/2010,Category C,205.5,30057
1/8/2010,Category E,312,43201
1/9/2010,Category A,614,31545
1/9/2010,Category B,483.5,43315
1/9/2010,Category C,205,32000.5
1/9/2010,Category E,309.5,43645.5
1/10/2010,Category A,624,32773.5
1/10/2010,Category B,479,43700.5
1/10/2010,Category C,214,30700
1/10/2010,Category E,311,44495
1/11/2010,Category A,597.5,36500.5
1/11/2010,Category B,481,46695.5
1/11/2010,Category C,205,31104
1/11/2010,Category E,324.5,47945.5
1/12/2010,Category A,607.5,46866.5
1/12/2010,Category B,489,67251.5
1/12/2010,Category C,208,32751
1/12/2010,Category E,312,70501
1/1/2011,Category A,610.5,39506
1/1/2011,Category B,482,63955
1/1/2011,Category C,206,32555.5
1/1/2011,Category E,314,71399
1/2/2011,Category A,517,40061.5
1/2/2011,Category B,427.5,57700
1/2/2011,Category C,281,28800
1/2/2011,Category E,334.5,60445.5
