Date,vehicle_class,Adjusted_Quota,Adj_Prem
1/1/2010,Category B,702,20795
1/2/2010,Category B,689,23534.5
1/3/2010,Category B,699.5,31239
1/4/2010,Category B,566,42751
1/5/2010,Category B,555.5,36300
1/6/2010,Category B,555,39956.5
1/7/2010,Category B,554.5,39399
1/8/2010,Category B,480.5,43072
1/9/2010,Category B,483.5,43315
1/10/2010,Category B,479,43700.5
1/11/2010,Category B,481,46695.5
1/12/2010,Category B,489,67251.5
1/1/2011,Category B,482,63955
1/2/2011,Category B,427.5,57700
1/3/2011,Category B,424,59448
1/4/2011,Category B,424,55901
1/5/2011,Category B,431.5,56155.5
1/6/2011,Category B,423.5,65350
1/7/2011,Category B,440.5,70501
1/8/2011,Category B,353.5,68205.5
1/9/2011,Category B,356,63945.5
1/10/2011,Category B,354.5,69744.5
1/11/2011,Category B,354.5,77170
1/12/2011,Category B,361,71176.5
1/1/2012,Category B,354.5,66845
1/2/2012,Category B,350.5,76039.5
1/3/2012,Category B,353,80653.5
1/4/2012,Category B,350.5,87350
1/5/2012,Category B,351.5,88633
1/6/2012,Category B,349.5,84200
1/7/2012,Category B,355.5,86395
1/8/2012,Category B,350.5,91252
1/9/2012,Category B,353,84345.5
1/10/2012,Category B,351.5,82901
1/11/2012,Category B,350.5,92702
1/12/2012,Category B,355,91850.5
1/1/2013,Category B,357,95855.5
1/2/2013,Category B,302.5,92784
1/3/2013,Category B,316.5,65995
1/4/2013,Category B,306,64505
1/5/2013,Category B,324.5,64502
1/6/2013,Category B,303.5,78375.5
1/7/2013,Category B,317,76749.5
1/8/2013,Category B,377.5,77103.5
1/9/2013,Category B,379,81669.5
1/10/2013,Category B,379,90705
1/11/2013,Category B,377.5,81939
1/12/2013,Category B,375,74355
1/1/2014,Category B,389.5,78850
1/2/2014,Category B,357.5,76952
1/3/2014,Category B,351.5,81805
1/4/2014,Category B,357,79757
1/5/2014,Category B,483.5,69052.5
1/6/2014,Category B,492,66502
1/7/2014,Category B,495.5,64945
1/8/2014,Category B,506.5,70839.5
1/9/2014,Category B,510,72500
1/10/2014,Category B,506,72091
1/11/2014,Category B,572,71890
1/12/2014,Category B,581.5,74194.5
1/1/2015,Category B,573.5,76089
1/2/2015,Category B,723,68820.5
1/3/2015,Category B,723,70278.5
1/4/2015,Category B,725,77306.5
1/5/2015,Category B,941,76301
1/6/2015,Category B,928.5,73254.5
1/7/2015,Category B,932,61805
1/8/2015,Category B,1057.5,61464.5
1/9/2015,Category B,1058.5,61051
1/10/2015,Category B,1065,59039.5
1/11/2015,Category B,1033,59302
1/12/2015,Category B,1029,57501
1/1/2016,Category B,1026.5,52504.5
1/2/2016,Category B,1212,42790
1/3/2016,Category B,1214.5,47053
1/4/2016,Category B,1214.5,48301
1/5/2016,Category B,1499.5,50083
1/6/2016,Category B,1466.5,56505
1/7/2016,Category B,1466,56798.5
1/8/2016,Category B,1336,57201.5
1/9/2016,Category B,1355,56251.5
1/10/2016,Category B,1345,54705.5
1/11/2016,Category B,1300.5,54603.5
1/12/2016,Category B,1244.5,48669
1/1/2017,Category B,1249,52956.5
1/2/2017,Category B,1371.5,49415
1/3/2017,Category B,1364,53650
1/4/2017,Category B,1364.5,54405.5
1/5/2017,Category B,1322.5,54207.5
1/6/2017,Category B,1323,48805.5
1/7/2017,Category B,1322,49901.5
1/8/2017,Category B,1289.5,52355.5
1/9/2017,Category B,1289,49094.5
1/10/2017,Category B,1285,49052.5
1/11/2017,Category B,1379.5,57402
1/12/2017,Category B,1374.5,50356.5
1/1/2018,Category B,1377.5,43975
1/2/2018,Category B,1393.5,40661
1/3/2018,Category B,1396,38005.5
1/4/2018,Category B,1403,37467.5
1/5/2018,Category B,1281.5,38245
1/6/2018,Category B,1304.5,34950
1/7/2018,Category B,1286.5,31775.5
1/8/2018,Category B,1268.5,33405
1/9/2018,Category B,1276,31654
1/10/2018,Category B,1272,31301.5
1/11/2018,Category B,1253,31701.5
1/12/2018,Category B,1241,31001
1/1/2019,Category B,1244.5,33094.5
1/2/2019,Category B,1208,34956
1/3/2019,Category B,1217,38181
1/4/2019,Category B,1203.5,45551
1/5/2019,Category B,1151,45287
1/6/2019,Category B,1140,37817
1/7/2019,Category B,1142,36703
1/8/2019,Category B,1046,39301.5
1/9/2019,Category B,1045,36500.5
1/10/2019,Category B,1046,41583
1/11/2019,Category B,1018,39854.5
1/12/2019,Category B,1014,36950
1/1/2020,Category B,1017,37407
1/2/2020,Category B,985.5,31889.5
1/3/2020,Category B,989.5,31406.5
1/7/2020,Category B,1315,35445
1/8/2020,Category B,927.5,37952
1/9/2020,Category B,908,41249.5
1/10/2020,Category B,799,40840
1/11/2020,Category B,1010,40050.5
1/12/2020,Category B,1022,47156
1/1/2021,Category B,1020.5,49550.5
1/2/2021,Category B,942.5,46396
1/3/2021,Category B,944,46001
1/4/2021,Category B,957,56749.5
1/5/2021,Category B,818,59045
1/6/2021,Category B,812,58070.5
1/7/2021,Category B,829.5,57800.5
1/8/2021,Category B,782.5,58501
1/9/2021,Category B,781.5,65455
1/10/2021,Category B,774,75205
1/11/2021,Category B,590.5,81201
1/12/2021,Category B,594,80695
1/1/2022,Category B,589.5,79850.5
1/2/2022,Category B,554.5,89846
1/3/2022,Category B,553,96889
1/4/2022,Category B,555,94195.5
1/5/2022,Category B,527.5,93989.5
