Category,Date,Date (dereg dataset.csv),Month,Month (Dereg Dataset.Csv),Number,Vehicle Class,Adj Prem,Adjusted Quota,F1
Category A,1/1/2014,1/1/2014,2014-01,2014-01,1011,Category A,72329.5,366,0
Category B,1/1/2014,1/1/2014,2014-01,2014-01,927,Category B,78850,389.5,1
Category C,1/1/2014,1/1/2014,2014-01,2014-01,711,Category C,49445,261,2
Category A,1/2/2014,1/2/2014,2014-02,2014-02,1104,Category A,74382.5,362,6
Category B,1/2/2014,1/2/2014,2014-02,2014-02,926,Category B,76952,357.5,7
Category C,1/2/2014,1/2/2014,2014-02,2014-02,832,Category C,51946,272,8
Category A,1/3/2014,1/3/2014,2014-03,2014-03,1330,Category A,77800.5,363.5,12
Category B,1/3/2014,1/3/2014,2014-03,2014-03,1308,Category B,81805,351.5,13
Category C,1/3/2014,1/3/2014,2014-03,2014-03,1700,Category C,55096.5,265.5,14
Category A,1/4/2014,1/4/2014,2014-04,2014-04,1347,Category A,74367.5,364,18
Category B,1/4/2014,1/4/2014,2014-04,2014-04,1068,Category B,79757,357,19
Category C,1/4/2014,1/4/2014,2014-04,2014-04,1267,Category C,41196.5,268.5,20
Category A,1/5/2014,1/5/2014,2014-05,2014-05,1271,Category A,62845.5,511,24
Category B,1/5/2014,1/5/2014,2014-05,2014-05,1101,Category B,69052.5,483.5,25
Category C,1/5/2014,1/5/2014,2014-05,2014-05,590,Category C,38595,390.5,26
Category A,1/6/2014,1/6/2014,2014-06,2014-06,1291,Category A,62544.5,508,30
Category B,1/6/2014,1/6/2014,2014-06,2014-06,1127,Category B,66502,492,31
Category C,1/6/2014,1/6/2014,2014-06,2014-06,716,Category C,42501,388,32
Category A,1/7/2014,1/7/2014,2014-07,2014-07,1507,Category A,62440,511,36
Category B,1/7/2014,1/7/2014,2014-07,2014-07,1217,Category B,64945,495.5,37
Category C,1/7/2014,1/7/2014,2014-07,2014-07,951,Category C,47700,391.5,38
Category A,1/8/2014,1/8/2014,2014-08,2014-08,1415,Category A,65155,574.5,42
Category B,1/8/2014,1/8/2014,2014-08,2014-08,1224,Category B,70839.5,506.5,43
Category C,1/8/2014,1/8/2014,2014-08,2014-08,1162,Category C,53199.5,262,44
Category A,1/9/2014,1/9/2014,2014-09,2014-09,1875,Category A,63420.5,572.5,48
Category B,1/9/2014,1/9/2014,2014-09,2014-09,1312,Category B,72500,510,49
Category C,1/9/2014,1/9/2014,2014-09,2014-09,842,Category C,49895,259.5,50
