Date,Deregistrated,Vehicle Class,Adj Prem,Adjusted Quota
1/1/2014,927,Category B,78850,389.5
1/2/2014,926,Category B,76952,357.5
1/3/2014,1308,Category B,81805,351.5
1/4/2014,1068,Category B,79757,357
1/5/2014,1101,Category B,69052.5,483.5
1/6/2014,1127,Category B,66502,492
1/7/2014,1217,Category B,64945,495.5
1/8/2014,1224,Category B,70839.5,506.5
1/9/2014,1312,Category B,72500,510
1/10/2014,1433,Category B,72091,506
1/11/2014,1449,Category B,71890,572
1/12/2014,1719,Category B,74194.5,581.5
1/1/2015,2095,Category B,76089,573.5
1/2/2015,1474,Category B,68820.5,723
1/3/2015,2416,Category B,70278.5,723
1/4/2015,2289,Category B,77306.5,725
1/5/2015,2191,Category B,76301,941
1/6/2015,2362,Category B,73254.5,928.5
1/7/2015,2382,Category B,61805,932
1/8/2015,1939,Category B,61464.5,1057.5
1/9/2015,2308,Category B,61051,1058.5
1/10/2015,2529,Category B,59039.5,1065
1/11/2015,2634,Category B,59302,1033
1/12/2015,2683,Category B,57501,1029
1/1/2016,3060,Category B,52504.5,1026.5
1/2/2016,2579,Category B,42790,1212
1/3/2016,3890,Category B,47053,1214.5
1/4/2016,3011,Category B,48301,1214.5
1/5/2016,2957,Category B,50083,1499.5
1/6/2016,2712,Category B,56505,1466.5
1/7/2016,2652,Category B,56798.5,1466
1/8/2016,2666,Category B,57201.5,1336
1/9/2016,2756,Category B,56251.5,1355
1/10/2016,2875,Category B,54705.5,1345
1/11/2016,3115,Category B,54603.5,1300.5
1/12/2016,2853,Category B,48669,1244.5
1/1/2017,2916,Category B,52956.5,1249
1/2/2017,2570,Category B,49415,1371.5
1/3/2017,3107,Category B,53650,1364
1/4/2017,2585,Category B,54405.5,1364.5
1/5/2017,2962,Category B,54207.5,1322.5
1/6/2017,2813,Category B,48805.5,1323
1/7/2017,2995,Category B,49901.5,1322
1/8/2017,2945,Category B,52355.5,1289.5
1/9/2017,3019,Category B,49094.5,1289
1/10/2017,3055,Category B,49052.5,1285
1/11/2017,2939,Category B,57402,1379.5
1/12/2017,3261,Category B,50356.5,1374.5
1/1/2018,3244,Category B,43975,1377.5
1/2/2018,2238,Category B,40661,1393.5
1/3/2018,3043,Category B,38005.5,1396
1/4/2018,2783,Category B,37467.5,1403
1/5/2018,2873,Category B,38245,1281.5
1/6/2018,2757,Category B,34950,1304.5
1/7/2018,2916,Category B,31775.5,1286.5
1/8/2018,2749,Category B,33405,1268.5
1/9/2018,2556,Category B,31654,1276
1/10/2018,2634,Category B,31301.5,1272
1/11/2018,2688,Category B,31701.5,1253
1/12/2018,2661,Category B,31001,1241
1/1/2019,2534,Category B,33094.5,1244.5
1/2/2019,2160,Category B,34956,1208
1/3/2019,2891,Category B,38181,1217
1/4/2019,2412,Category B,45551,1203.5
1/5/2019,2265,Category B,45287,1151
1/6/2019,2262,Category B,37817,1140
1/7/2019,2510,Category B,36703,1142
1/8/2019,2123,Category B,39301.5,1046
1/9/2019,2103,Category B,36500.5,1045
1/10/2019,2127,Category B,41583,1046
1/11/2019,2126,Category B,39854.5,1018
1/12/2019,2270,Category B,36950,1014
1/1/2020,2111,Category B,37407,1017
1/2/2020,2030,Category B,31889.5,985.5
1/3/2020,2279,Category B,31406.5,989.5
1/7/2020,1762,Category B,35445,1315
1/8/2020,1790,Category B,37952,927.5
1/9/2020,1705,Category B,41249.5,908
1/10/2020,1659,Category B,40840,799
1/11/2020,1582,Category B,40050.5,1010
1/12/2020,1590,Category B,47156,1022
1/1/2021,1427,Category B,49550.5,1020.5
1/2/2021,1198,Category B,46396,942.5
1/3/2021,1804,Category B,46001,944
1/4/2021,1647,Category B,56749.5,957
1/5/2021,1798,Category B,59045,818
1/6/2021,1680,Category B,58070.5,812
1/7/2021,1332,Category B,57800.5,829.5
1/8/2021,1336,Category B,58501,782.5
1/9/2021,1240,Category B,65455,781.5
1/10/2021,1328,Category B,75205,774
1/11/2021,1165,Category B,81201,590.5
1/12/2021,1167,Category B,80695,594
1/1/2022,1199,Category B,79850.5,589.5
1/2/2022,947,Category B,89846,554.5
1/3/2022,1363,Category B,96889,553
1/4/2022,977,Category B,94195.5,555
