Date,vehicle_class,Adjusted_Quota,Adj_Prem
1/1/2010,Category E,587,20894
1/2/2010,Category E,595.5,23315
1/3/2010,Category E,585.5,34795.5
1/4/2010,Category E,381,46001.5
1/5/2010,Category E,385.5,39001
1/6/2010,Category E,361.5,41003
1/7/2010,Category E,381,42287.5
1/8/2010,Category E,312,43201
1/9/2010,Category E,309.5,43645.5
1/10/2010,Category E,311,44495
1/11/2010,Category E,324.5,47945.5
1/12/2010,Category E,312,70501
1/1/2011,Category E,314,71399
1/2/2011,Category E,334.5,60445.5
1/3/2011,Category E,333,60541.5
1/4/2011,Category E,335.5,56550.5
1/5/2011,Category E,330.5,56689.5
1/6/2011,Category E,338.5,63745
1/7/2011,Category E,353.5,71650.5
1/8/2011,Category E,348.5,68558.5
1/9/2011,Category E,331,64045.5
1/10/2011,Category E,330.5,69329
1/11/2011,Category E,342.5,76945
1/12/2011,Category E,341.5,72670
1/1/2012,Category E,362,66400.5
1/2/2012,Category E,313,75900.5
1/3/2012,Category E,318,78491
1/4/2012,Category E,308.5,88300
1/5/2012,Category E,316,87939.5
1/6/2012,Category E,316,85139
1/7/2012,Category E,311,89849.5
1/8/2012,Category E,253.5,94512
1/9/2012,Category E,248.5,88994.5
1/10/2012,Category E,246,86944.5
1/11/2012,Category E,251,93045
1/12/2012,Category E,248,96495
1/1/2013,Category E,253.5,96995
1/2/2013,Category E,239.5,93400
1/3/2013,Category E,267,69151
1/4/2013,Category E,242.5,64494.5
1/5/2013,Category E,245,64501
1/6/2013,Category E,245,79500.5
1/7/2013,Category E,264,76901
1/8/2013,Category E,264,78606
1/9/2013,Category E,262,83500.5
1/10/2013,Category E,305.5,93089
1/11/2013,Category E,269.5,86000.5
1/12/2013,Category E,266,77201
1/1/2014,Category E,261,78905
1/2/2014,Category E,200.5,78001.5
1/3/2014,Category E,193,83000.5
1/4/2014,Category E,195.5,78955
1/5/2014,Category E,294.5,66395.5
1/6/2014,Category E,297.5,66317.5
1/7/2014,Category E,306.5,64001.5
1/8/2014,Category E,243,70905.5
1/9/2014,Category E,248.5,74602
1/10/2014,Category E,243.5,72102
1/11/2014,Category E,267.5,72600
1/12/2014,Category E,264.5,75447
1/1/2015,Category E,268,75995
1/2/2015,Category E,187,69911
1/3/2015,Category E,174.5,71300
1/4/2015,Category E,181.5,78750
1/5/2015,Category E,287.5,78002.5
1/6/2015,Category E,272,75151
1/7/2015,Category E,273,64551
1/8/2015,Category E,363,59443
1/9/2015,Category E,365.5,61155
1/10/2015,Category E,363.5,59400.5
1/11/2015,Category E,366,61354
1/12/2015,Category E,362,58752
1/1/2016,Category E,361,53044.5
1/2/2016,Category E,451,44505
1/3/2016,Category E,450.5,47334.5
1/4/2016,Category E,518,48505.5
1/5/2016,Category E,642,49350
1/6/2016,Category E,537,56245
1/7/2016,Category E,519,56751.5
1/8/2016,Category E,439.5,57578.5
1/9/2016,Category E,443.5,56045
1/10/2016,Category E,432.5,55270
1/11/2016,Category E,401,55450.5
1/12/2016,Category E,408.5,50199.5
1/1/2017,Category E,400.5,52800.5
1/2/2017,Category E,494,49778
1/3/2017,Category E,490.5,53751
1/4/2017,Category E,484,54586
1/5/2017,Category E,530.5,53500
1/6/2017,Category E,540.5,49263.5
1/7/2017,Category E,545,50000
1/8/2017,Category E,566.5,51375.5
1/9/2017,Category E,554,48508.5
1/10/2017,Category E,541,50500
1/11/2017,Category E,520,57250.5
1/12/2017,Category E,536.5,51172.5
1/1/2018,Category E,516.5,45695
1/2/2018,Category E,576,39352
1/3/2018,Category E,571,38500
1/4/2018,Category E,592.5,38214
1/5/2018,Category E,561.5,38650
1/6/2018,Category E,570,35700
1/7/2018,Category E,574.5,31905
1/8/2018,Category E,531.5,32865.5
1/9/2018,Category E,535,31900.5
1/10/2018,Category E,550,32726
1/11/2018,Category E,554.5,31479.5
1/12/2018,Category E,548.5,31330
1/1/2019,Category E,543,33299
1/2/2019,Category E,405,35988.5
1/3/2019,Category E,402.5,39310
1/4/2019,Category E,399,50309.5
1/5/2019,Category E,383,49751
1/6/2019,Category E,380.5,40701
1/7/2019,Category E,377,38395
1/8/2019,Category E,360,40257
1/9/2019,Category E,362,38956
1/10/2019,Category E,366.5,41510.5
1/11/2019,Category E,386.5,40495
1/12/2019,Category E,384,38439
1/1/2020,Category E,386,37750
1/2/2020,Category E,331.5,34100.5
1/3/2020,Category E,332,32500
1/7/2020,Category E,446,34995
1/8/2020,Category E,473,37306
1/9/2020,Category E,470.5,40895.5
1/10/2020,Category E,428.5,40095
1/11/2020,Category E,492,40501.5
1/12/2020,Category E,467.5,47505
1/1/2021,Category E,466.5,50694.5
1/2/2021,Category E,302,48642
1/3/2021,Category E,297,47403.5
1/4/2021,Category E,299.5,57150
1/5/2021,Category E,267,62501
1/6/2021,Category E,262,59556.5
1/7/2021,Category E,263,58850.5
1/8/2021,Category E,198.5,62250
1/9/2021,Category E,202,67351
1/10/2021,Category E,212,78878
1/11/2021,Category E,161.5,87000.5
1/12/2021,Category E,163,84444.5
1/1/2022,Category E,147,83206
1/2/2022,Category E,180,90051
1/3/2022,Category E,185,98950
1/4/2022,Category E,182,97900
1/5/2022,Category E,193,93506.5
