Date,Data Series,Total Population
2021-01-01,2021,5453566
2020-01-01,2020,5685807
2019-01-01,2019,5703569
2018-01-01,2018,5638676
2017-01-01,2017,5612253
2016-01-01,2016,5607283
2015-01-01,2015,5535002
2014-01-01,2014,5469724
2013-01-01,2013,5399162
2012-01-01,2012,5312437
2011-01-01,2011,5183688
2010-01-01,2010,5076732
2009-01-01,2009,4987573
2008-01-01,2008,4839396
2007-01-01,2007,4588599
2006-01-01,2006,4401365
2005-01-01,2005,4265762
2004-01-01,2004,4166664
2003-01-01,2003,4114826
2002-01-01,2002,4175950
2001-01-01,2001,4138012
2000-01-01,2000,4027887
1999-01-01,1999,3958723
1998-01-01,1998,3927213
1997-01-01,1997,3796038
1996-01-01,1996,3670704
1995-01-01,1995,3524506
1994-01-01,1994,3419048
1993-01-01,1993,3313471
1992-01-01,1992,3230698
1991-01-01,1991,3135083
1990-01-01,1990,3047132
1989-01-01,1989,2930901
1988-01-01,1988,2846108
1987-01-01,1987,2774789
1986-01-01,1986,2733373
1985-01-01,1985,2735957
1984-01-01,1984,2732221
1983-01-01,1983,2681061
1982-01-01,1982,2646466
1981-01-01,1981,2532835
1980-01-01,1980,2413945
1979-01-01,1979,2383500
1978-01-01,1978,2353600
1977-01-01,1977,2325300
1976-01-01,1976,2293300
1975-01-01,1975,2262600
1974-01-01,1974,2229800
1973-01-01,1973,2193000
1972-01-01,1972,2152400
1971-01-01,1971,2112900
1970-01-01,1970,2074507
1969-01-01,1969,2042500
1968-01-01,1968,2012000
1967-01-01,1967,1977600
1966-01-01,1966,1934400
1965-01-01,1965,1886900
1964-01-01,1964,1841600
1963-01-01,1963,1795000
1962-01-01,1962,1750200
1961-01-01,1961,1702400
1960-01-01,1960,1646400
1959-01-01,1959,1587200
1958-01-01,1958,1518800
1957-01-01,1957,1445929
1956-01-01,1956,1371600
1955-01-01,1955,1305500
1954-01-01,1954,1248200
1953-01-01,1953,1191800
1952-01-01,1952,1127000
1951-01-01,1951,1068100
1950-01-01,1950,1022100
